id,topic,intervention,outcome,effect_min,effect_max,effect_unit,categories,confidence,keywords
peer-to-peer-recognition,Peer-to-peer recognition programs,Implementing a structured peer-to-peer employee recognition platform with small monthly reward allowances,Annual voluntary employee retention rate,6,14,percent_relative,"hr,retention",study,"employee engagement, company culture, turnover reduction, employee recognition"
virtual-hotel-room-tours,360-degree virtual room tours,Adding interactive 360-degree virtual tours to hotel room selection pages,Direct-to-consumer booking conversion rate,9,18,percent_relative,"travel,conversion",ab_test,"booking conversion, hotel website, virtual reality, travel e-commerce"
skeleton-screens-loading-perception,Skeleton screens for loading,Replacing standard circular loading spinners with content skeleton screen placeholders during page loads,Perceived wait time user satisfaction score,15,28,percent_relative,"ux,performance",study,"perceived performance, skeleton screen, loading states, user friction"
most-popular-plan-badge,Most popular plan badge,Adding a 'Most Popular' badge or visual highlight to the mid-tier option on a three-tier pricing table,Mid-tier package conversion rate,7,14,percent_relative,"business,pricing",ab_test,"pricing page, pricing tier, subscription, visual hierarchy, nudge"
resting-pancake-batter,Resting pancake batter,Resting pancake batter for 15 to 30 minutes before cooking to allow gluten to relax and starch to fully hydrate,Average pancake height and physical fluffiness,15,25,percent_relative,"food,baking",study,"baking, pancake, gluten, batter, food science"
auto-loot-mechanics,Auto-loot mechanics,Implementing automatic looting of defeated enemies instead of requiring manual click-to-loot actions in an RPG,Average daily session length,5,9,percent_relative,"gaming,ux",ab_test,"rpg, looting, player retention, gameplay loop, quality of life"
structured-interview-rubrics,Structured interview rubrics,Adopting standardized rating scales and pre-defined rubrics for candidate evaluations rather than unstructured interviewer notes,90-day retention rate of new hires,11,18,percent_relative,"hr,recruiting",study,"hiring, hiring rubric, structured interview, retention, talent acquisition"
eco-certification-hotel-badge,Eco-certification hotel badges,Displaying a prominent third-party eco-friendly or sustainability certification badge on hotel listing details,Hotel listing click-through rate (CTR),6,12,percent_relative,"travel,conversion",ab_test,"travel, booking conversion, sustainability, eco-friendly, trust badges"
password-visibility-toggle,Password visibility toggle,Adding a 'show password' icon toggle inside registration and login password form fields,Form submission completion rate,4,8,percent_relative,"ux,forms",ab_test,"ux, form design, password toggle, conversion rate, signup flow"
free-shipping-threshold-progress,Free shipping progress bar,Adding a dynamic progress bar in the shopping cart showing how much more to spend to qualify for free shipping,Average order value (AOV),8,15,percent_relative,"business,ecommerce",ab_test,"e-commerce, free shipping, average order value, average basket size, upsell"
ice-water-egg-peeling,Ice water shock for boiled eggs,Submerging hard-boiled eggs in ice water immediately after boiling to shrink the egg white slightly from the shell,Peelability rate without tearing the egg whites,25,40,percent_relative,"food,cooking-techniques",study,"boiled eggs, cooking hacks, food preparation, kitchen science"
colorblind-mode-accessibility-retention,Colorblind mode accessibility,Offering dedicated colorblind rendering modes during the initial onboarding setup screen of video games,First-week player retention,3,7,percent_relative,"gaming,accessibility",study,"game design, accessibility, player retention, visual settings"
caffeine-nap-daytime-alertness,Caffeine naps,Consuming 200mg of caffeine immediately followed by a 20-minute nap to clear adenosine before caffeine kicks in,Post-nap cognitive alertness and psychomotor vigilance performance,15,25,percent_relative,"health,sleep",study,"cognitive performance, alertness, sleep hygiene, caffeine, productivity"
blind-resume-screening-bias,Blind resume screening,"Removing demographic indicators such as candidate name, gender, and graduation years from resumes before hiring manager review",Underrepresented candidate progression to initial phone interviews,18,32,percent_relative,"hr,recruitment",meta_analysis,"diversity, inclusion, hiring, recruitment bias, blind screening"
beetroot-juice-endurance-performance,Beetroot juice supplementation,Consuming dietary nitrate-rich beetroot juice 2-3 hours prior to athletic exertion to enhance muscle oxygenation,Time-to-exhaustion during high-intensity endurance running or cycling,4,10,percent_relative,"sports,nutrition",meta_analysis,"athletic performance, stamina, dietary nitrates, oxygen efficiency, nitric oxide"
curated-local-itinerary-booking,Curated local itineraries,"Providing dynamic, pre-curated local activity and dining itineraries during the hotel booking checkout flow",Direct booking conversion rate,6,12,percent_relative,"travel,ecommerce",ab_test,"hotel booking, upsell, customer experience, travel planning"
floating-add-to-cart-conversion,Sticky mobile add-to-cart,"Implementing a persistent, sticky 'Add to Cart' button at the bottom of the viewport on mobile product pages",Mobile cart addition rate,7,14,percent_relative,"ux,mobile",ab_test,"mobile ux, conversion rate optimization, sticky button, shopping cart"
password-strength-meter-signup,Live password strength feedback,Adding a real-time visual strength meter with inline validation next to the signup password input field,Successful signup form completion rate,5,11,percent_relative,"ux,forms",ab_test,"signup flow, form validation, password meter, user interface"
early-payment-discount-terms,Early payment discount terms,Offering a 2% discount for B2B invoices paid within 10 days on net-30 terms (2/10 net 30),Reduction in average days sales outstanding (DSO),15,30,percent_relative,"business,invoicing",study,"invoice terms, DSO, accounts receivable, cash flow, early payment discount, B2B billing"
acid-marinade-meat-tenderizing,Acid marinade for tough cuts,Marinating tough beef cuts in an acidic marinade (vinegar or citrus juice) for 2-4 hours before cooking,Reduction in measured shear force / perceived toughness in sensory panels,20,35,percent_relative,"food,technique",study,"marinade, meat tenderizing, acid, shear force, cooking technique, tough cuts"
adaptive-difficulty-rubber-banding,Adaptive difficulty rubber-banding,Adding dynamic difficulty adjustment (rubber-banding) that scales challenge to player performance in real time,Increase in average session length and D7 retention,8,18,percent_relative,"gaming,retention",ab_test,"adaptive difficulty, rubber banding, dynamic balancing, session length, retention, game design"
realistic-job-preview-videos,Realistic job preview videos,Showing candidates a realistic job preview video depicting day-to-day work during the interview process,Reduction in 90-day new hire turnover,10,25,percent_relative,"hr,hiring",study,"realistic job preview, new hire turnover, candidate expectations, hiring, onboarding, retention"
local-currency-price-display,Local currency price display,Displaying flight and hotel prices in the traveler's local currency by default instead of a single base currency,Increase in booking conversion rate,5,15,percent_relative,"travel,conversion",ab_test,"local currency, price display, booking conversion, travel checkout, currency localization"
skeleton-loading-screens,Skeleton loading screens,Replacing blank spinners with skeleton loading placeholders while page content fetches,Reduction in bounce rate during content load,10,20,percent_relative,"ux,performance",ab_test,"skeleton screens, loading state, perceived performance, bounce rate, spinner, UX pattern"
itemized-invoice-dispute-rate,Itemized invoice line items,"Adding itemized, plain-language line-item descriptions to B2B invoices instead of lump-sum billing",reduction in billing dispute rate and days sales outstanding,15,28,percent_relative,"business,billing",ab_test,"b2b invoicing, billing disputes, days sales outstanding, accounts receivable, itemization"
vinegar-poaching-water-egg-cohesion,Vinegar in egg poaching water,Adding a splash of vinegar to simmering water before poaching eggs,improvement in egg white cohesion with fewer stray strands,20,40,percent_relative,"food,cooking-science",study,"poached eggs, vinegar, egg white coagulation, cooking technique"
photo-mode-social-sharing-retention,In-game photo mode sharing,Adding an in-game photo mode with one-tap social sharing,increase in Day-30 retention among players who use the feature,6,14,percent_relative,"gaming,retention",ab_test,"photo mode, social sharing, retention, screenshot, virality"
internal-mobility-posting-attrition,Internal-first job postings,Posting open roles internally for 7 days before external advertising,reduction in voluntary regretted attrition,8,18,percent_relative,"hr,retention",study,"internal mobility, job posting, attrition, career growth, talent retention"
seat-map-preview-booking-completion,Seat map preview at booking,Showing an interactive seat map preview during the flight booking flow before payment,increase in booking completion rate,4,9,percent_relative,"travel,booking",ab_test,"seat map, flight booking, conversion, ancillary revenue, ota"
undo-toast-destructive-action-recovery,Undo toast after destructive actions,Showing a timed 'Undo' toast notification immediately after delete or archive actions,reduction in support tickets for accidental data loss,25,45,percent_relative,"ux,error-recovery",ab_test,"undo, toast notification, destructive action, error recovery, support tickets"
cold-email-personalization-reply-rate,Personalized cold email subject lines,Including the prospect's company name in cold outbound email subject lines instead of a generic subject line,reply rate from B2B sales prospects,15,34,percent_relative,"business,sales-outreach",ab_test,"cold email, personalization, subject line, reply rate, b2b sales, sales development"
blanching-vegetables-nutrient-retention,Blanching vegetables before freezing,"Blanching vegetables in boiling water for 1-2 minutes before flash freezing, versus freezing raw",vitamin C retention after 3 months of frozen storage,20,35,percent_relative,"food,food-science",study,"blanching, freezing vegetables, vitamin retention, food preservation, nutrient loss"
seasonal-event-lapsed-reactivation,Time-limited seasonal events for lapsed players,Sending lapsed players a push notification about a time-limited seasonal in-game event,7-day reactivation rate among players inactive for 30+ days,8,22,percent_point,"gaming,retention",ab_test,"seasonal event, lapsed players, reactivation, live ops, fomo, push notification"
skip-level-meeting-engagement,Skip-level meetings,Scheduling quarterly skip-level meetings between individual contributors and senior leadership two levels up,employee engagement survey scores,4,11,percent_point,"hr,employee-engagement",study,"skip-level meetings, employee engagement, leadership visibility, hr, retention"
red-eye-flight-fare-savings,Red-eye flight fare savings,Booking overnight red-eye flights instead of comparable daytime departures on the same route,average airfare paid per ticket,10,25,percent_relative,"travel,flight-booking",estimate,"red-eye flights, airfare savings, overnight flights, flight pricing, travel booking"
empty-state-illustration-engagement,Illustrated empty states with CTA,Replacing blank empty states with illustrated empty states that include a clear call-to-action,feature adoption rate among first-time users who reach the empty state,12,28,percent_relative,"ux,onboarding",ab_test,"empty state, illustration, call to action, feature adoption, ux design, onboarding"
transparent-career-ladder-retention,Transparent career progression paths,Publishing explicit career progression tiers and promotion criteria to all employees,Annual employee retention rate,12,20,percent_relative,business,study,"career development, organizational transparency, HR retention, internal mobility"
cross-platform-progress-sync-retention,Cross-platform game progress synchronization,"Enabling cloud-based progress sync across mobile, console, and PC platforms with seamless handoff",30-day player retention rate,7,15,percent_relative,gaming,ab_test,"cross-platform, cloud save, progression, player engagement, session continuity"
micro-interaction-delight-nps,Polished micro-interactions and haptic feedback,"Adding subtle animations, button press feedback, loading transitions, and haptic responses throughout the product",Net Promoter Score improvement,8,16,percent_point,ux,ab_test,"animation, Polish, haptic feedback, perceived quality, UX delight"
loyalty-tier-annual-retention,Tiered loyalty programs,Introducing milestone-based loyalty tiers with transparent progression paths and incremental benefits,Annual subscription retention rate,8,15,percent_relative,"business,loyalty",ab_test,loyalty program retention subscription
revenue-email-send-time-optimization,Revenue email send time optimization,Scheduling revenue recovery emails to each user's peak engagement hour based on historical activity patterns,Revenue per email and email open rate,15,30,percent_relative,"business,email-marketing",ab_test,email timing send time revenue
knife-sharpness-prep-enjoyment,Knife sharpness and prep satisfaction,Using sharp knives (sharpened within 1 month) versus dull knives for vegetable prep tasks,Perceived cooking enjoyment and prep task satisfaction rating,20,40,percent_relative,"food,knife-skills",study,knife sharpness cooking enjoyment satisfaction
difficulty-preview-progression,Pre-level difficulty preview,Displaying difficulty rating (easy/medium/hard) and estimated completion time before level start,Level completion rate and session length,5,12,percent_relative,"gaming,player-progression",ab_test,difficulty game progression completion
foam-rolling-soreness-recovery,Foam rolling for delayed-onset soreness,90-second foam rolling session within 1 hour post-workout on lower body muscle groups,Perceived muscle soreness reduction at 24-48 hours post-workout,15,30,percent_relative,"health,recovery,fitness",study,foam rolling soreness recovery workout
transparent-promotion-criteria-career-satisfaction,Published promotion rubrics,"Publishing explicit, weighted promotion criteria and evaluation rubrics for each role level",Employee career progression satisfaction and internal mobility job applications,10,25,percent_relative,"hr,career-development",ab_test,promotion career criteria transparency
structured-warm-up-heart-rate-readiness,Dynamic warm-up performance effect,10-minute dynamic warm-up routine raising resting heart rate to 55-65% of max heart rate before competition,Peak performance metrics and injury rates in first half of competition,3,8,percent_relative,"sports,training,injury-prevention",study,warm-up heart rate performance sports
baggage-allowance-upfront-clarity,Baggage policy clarity in flight search,Displaying baggage allowance and checked-bag fees on search results page (not deferred to checkout),Booking completion rate and reduction in price-shock abandonment,2,8,percent_relative,"travel,booking-friction",ab_test,baggage fees booking transparency travel
loading-animation-performance-perception,Loading animation type and perceived speed,"Smooth, fluid loading animation (rotating spinner or progress wave) versus static progress bar",Perceived page load speed and user satisfaction with loading experience,10,20,percent_relative,"ux,micro-interactions,loading",study,loading animation perception speed
right-click-context-menu-customization,Custom right-click context menu,"Enabling app-specific right-click context menu with custom actions (save, bookmark, share to social)",User engagement with save/bookmark/share features and feature discoverability,8,18,percent_relative,"ux,accessibility,interaction",ab_test,context menu interaction accessibility
